ac_type_id,ac_type_cleaned,ac_category
514,Boeing 767-233ER,Civilian Passenger Aircraft
515,Boeing 767-260ER,Civilian Passenger Aircraft
516,Boeing 767-366ER,Civilian Passenger Aircraft
517,Boeing 767-375ER,Civilian Passenger Aircraft
518,Boeing 767-3Z9ER,Civilian Passenger Aircraft
519,Boeing 777-200,Civilian Passenger Aircraft
520,Boeing 777-236ER,Civilian Passenger Aircraft
521,Boeing 777-28EER,Civilian Passenger Aircraft
522,Boeing 777-2H6ER,Civilian Passenger Aircraft
523,Boeing 777-31H,Civilian Passenger Aircraft
524,Boeing 95,Civilian Passenger Aircraft
525,Boeing B-17G,Civilian Passenger Aircraft
526,Boeing B-29,Civilian Passenger Aircraft
527,Boeing B-747-121 / Boeing B-747-206B,Civilian Passenger Aircraft
528,Boeing B727-200,Civilian Passenger Aircraft
529,Boeing C-135A,Military Fighter Aircraft
530,Boeing C-135B,Military Fighter Aircraft
531,Boeing C-97,Cargo and Transport Aircraft
532,Boeing C-97A,Cargo and Transport Aircraft
533,Boeing C-97C,Cargo and Transport Aircraft
534,Boeing CH-47,Helicopters
535,Boeing CH-47A,Helicopters
536,Boeing CH-47D,Helicopters
537,Boeing CH-53D,Helicopters
538,Boeing CH-53E,Helicopters
539,Boeing EC-135K,Cargo and Transport Aircraft
540,Boeing EC-135N,Cargo and Transport Aircraft
541,Boeing KC-135,Cargo and Transport Aircraft
542,Boeing KC-135A,Cargo and Transport Aircraft
543,Boeing KC-135C,Cargo and Transport Aircraft
544,Boeing KC-135E,Cargo and Transport Aircraft
545,Boeing KC-97G,Cargo and Transport Aircraft
546,Boeing RB-52B,Military Fighter Aircraft
